"ons_code","date_code","measurement","value","economic_status"
"E07000241","2013-2014","LA Tenancies","392","r. Total"
"E07000240","2013-2014","LA Tenancies","197","r. Total"
"E07000236","2013-2014","LA Tenancies","272","r. Total"
"E07000226","2013-2014","LA Tenancies","290","r. Total"
"E07000224","2013-2014","LA Tenancies","115","r. Total"
"E07000223","2013-2014","LA Tenancies","67","r. Total"
"E07000222","2013-2014","LA Tenancies","330","r. Total"
"E07000220","2013-2014","LA Tenancies","234","r. Total"
"E07000219","2013-2014","LA Tenancies","364","r. Total"
"E07000218","2013-2014","LA Tenancies","204","r. Total"
"E07000217","2013-2014","LA Tenancies","154","r. Total"
"E07000216","2013-2014","LA Tenancies","226","r. Total"
"E07000215","2013-2014","LA Tenancies","82","r. Total"
"E07000212","2013-2014","LA Tenancies","125","r. Total"
"E07000209","2013-2014","LA Tenancies","239","r. Total"
"E07000206","2013-2014","LA Tenancies","339","r. Total"
"E07000203","2013-2014","LA Tenancies","178","r. Total"
"E07000202","2013-2014","LA Tenancies","428","r. Total"
"E07000200","2013-2014","LA Tenancies","168","r. Total"
"E07000199","2013-2014","LA Tenancies","239","r. Total"
"E07000192","2013-2014","LA Tenancies","374","r. Total"
"E07000190","2013-2014","LA Tenancies","408","r. Total"
"E07000188","2013-2014","LA Tenancies","276","r. Total"
"E07000180","2013-2014","LA Tenancies","7","r. Total"
"E07000178","2013-2014","LA Tenancies","319","r. Total"
"E07000177","2013-2014","LA Tenancies","3","r. Total"
"E07000175","2013-2014","LA Tenancies","306","r. Total"
"E07000174","2013-2014","LA Tenancies","611","r. Total"
"E07000172","2013-2014","LA Tenancies","208","r. Total"
"E07000171","2013-2014","LA Tenancies","418","r. Total"
"E07000170","2013-2014","LA Tenancies","531","r. Total"
"E07000169","2013-2014","LA Tenancies","224","r. Total"
"E07000166","2013-2014","LA Tenancies","115","r. Total"
"E07000165","2013-2014","LA Tenancies","292","r. Total"
"E07000154","2013-2014","LA Tenancies","757","r. Total"
"E07000153","2013-2014","LA Tenancies","246","r. Total"
"E07000150","2013-2014","LA Tenancies","287","r. Total"
"E07000148","2013-2014","LA Tenancies","1071","r. Total"
"E07000145","2013-2014","LA Tenancies","389","r. Total"
"E07000141","2013-2014","LA Tenancies","406","r. Total"
"E07000140","2013-2014","LA Tenancies","182","r. Total"
"E07000139","2013-2014","LA Tenancies","243","r. Total"
"E07000138","2013-2014","LA Tenancies","528","r. Total"
"E07000135","2013-2014","LA Tenancies","60","r. Total"
"E07000134","2013-2014","LA Tenancies","194","r. Total"
"E07000133","2013-2014","LA Tenancies","80","r. Total"
"E07000132","2013-2014","LA Tenancies","118","r. Total"
"E07000130","2013-2014","LA Tenancies","365","r. Total"
"E07000127","2013-2014","LA Tenancies","607","r. Total"
"E07000121","2013-2014","LA Tenancies","346","r. Total"
"E07000114","2013-2014","LA Tenancies","240","r. Total"
"E07000112","2013-2014","LA Tenancies","113","r. Total"
"E07000109","2013-2014","LA Tenancies","220","r. Total"
"E07000108","2013-2014","LA Tenancies","247","r. Total"
"E07000107","2013-2014","LA Tenancies","236","r. Total"
"E07000106","2013-2014","LA Tenancies","170","r. Total"
"E07000105","2013-2014","LA Tenancies","251","r. Total"
"E07000098","2013-2014","LA Tenancies","3","r. Total"
"E07000096","2013-2014","LA Tenancies","456","r. Total"
"E07000095","2013-2014","LA Tenancies","18","r. Total"
"E07000094","2013-2014","LA Tenancies","204","r. Total"
"E07000091","2013-2014","LA Tenancies","245","r. Total"
"E07000090","2013-2014","LA Tenancies","282","r. Total"
"E07000088","2013-2014","LA Tenancies","177","r. Total"
"E07000087","2013-2014","LA Tenancies","93","r. Total"
"E07000082","2013-2014","LA Tenancies","325","r. Total"
"E07000081","2013-2014","LA Tenancies","254","r. Total"
"E07000078","2013-2014","LA Tenancies","425","r. Total"
"E07000077","2013-2014","LA Tenancies","160","r. Total"
"E07000076","2013-2014","LA Tenancies","248","r. Total"
"E07000073","2013-2014","LA Tenancies","492","r. Total"
"E07000072","2013-2014","LA Tenancies","303","r. Total"
"E07000071","2013-2014","LA Tenancies","387","r. Total"
"E07000069","2013-2014","LA Tenancies","70","r. Total"
"E07000068","2013-2014","LA Tenancies","97","r. Total"
"E07000066","2013-2014","LA Tenancies","538","r. Total"
"E07000065","2013-2014","LA Tenancies","177","r. Total"
"E07000063","2013-2014","LA Tenancies","190","r. Total"
"E07000061","2013-2014","LA Tenancies","283","r. Total"
"E07000042","2013-2014","LA Tenancies","159","r. Total"
"E07000041","2013-2014","LA Tenancies","363","r. Total"
"E07000040","2013-2014","LA Tenancies","177","r. Total"
"E07000039","2013-2014","LA Tenancies","214","r. Total"
"E07000038","2013-2014","LA Tenancies","462","r. Total"
"E07000037","2013-2014","LA Tenancies","281","r. Total"
"E07000034","2013-2014","LA Tenancies","1065","r. Total"
"E07000033","2013-2014","LA Tenancies","320","r. Total"
"E07000027","2013-2014","LA Tenancies","332","r. Total"
"E07000012","2013-2014","LA Tenancies","216","r. Total"
"E07000008","2013-2014","LA Tenancies","349","r. Total"
"E07000243","2013-2014","LA Tenancies","283","r. Total"
"E09000007","2013-2014","LA Tenancies","824","r. Total"
"E09000005","2013-2014","LA Tenancies","259","r. Total"
"E09000003","2013-2014","LA Tenancies","317","r. Total"
"E09000002","2013-2014","LA Tenancies","575","r. Total"
"E09000001","2013-2014","LA Tenancies","34","r. Total"
"E09000033","2013-2014","LA Tenancies","431","r. Total"
"E09000032","2013-2014","LA Tenancies","654","r. Total"
"E09000031","2013-2014","LA Tenancies","356","r. Total"
"E09000030","2013-2014","LA Tenancies","433","r. Total"
"E09000029","2013-2014","LA Tenancies","228","r. Total"
"E09000028","2013-2014","LA Tenancies","1619","r. Total"
"E09000026","2013-2014","LA Tenancies","189","r. Total"
"E09000025","2013-2014","LA Tenancies","372","r. Total"
"E09000023","2013-2014","LA Tenancies","557","r. Total"
"E09000022","2013-2014","LA Tenancies","730","r. Total"
"E09000021","2013-2014","LA Tenancies","199","r. Total"
"E09000020","2013-2014","LA Tenancies","182","r. Total"
"E09000019","2013-2014","LA Tenancies","1122","r. Total"
"E09000018","2013-2014","LA Tenancies","344","r. Total"
"E09000017","2013-2014","LA Tenancies","387","r. Total"
"E09000016","2013-2014","LA Tenancies","332","r. Total"
"E09000015","2013-2014","LA Tenancies","225","r. Total"
"E09000014","2013-2014","LA Tenancies","473","r. Total"
"E09000013","2013-2014","LA Tenancies","268","r. Total"
"E09000012","2013-2014","LA Tenancies","975","r. Total"
"E09000011","2013-2014","LA Tenancies","979","r. Total"
"E09000010","2013-2014","LA Tenancies","400","r. Total"
"E09000009","2013-2014","LA Tenancies","496","r. Total"
"E09000008","2013-2014","LA Tenancies","197","r. Total"
"E06000056","2013-2014","LA Tenancies","277","r. Total"
"E06000054","2013-2014","LA Tenancies","318","r. Total"
"E06000052","2013-2014","LA Tenancies","551","r. Total"
"E06000051","2013-2014","LA Tenancies","212","r. Total"
"E06000050","2013-2014","LA Tenancies","488","r. Total"
"E06000047","2013-2014","LA Tenancies","1882","r. Total"
"E06000030","2013-2014","LA Tenancies","666","r. Total"
"E06000029","2013-2014","LA Tenancies","142","r. Total"
"E06000028","2013-2014","LA Tenancies","205","r. Total"
"E06000023","2013-2014","LA Tenancies","1609","r. Total"
"E06000021","2013-2014","LA Tenancies","1828","r. Total"
"E06000018","2013-2014","LA Tenancies","1161","r. Total"
"E06000016","2013-2014","LA Tenancies","1063","r. Total"
"E06000015","2013-2014","LA Tenancies","1177","r. Total"
"E06000014","2013-2014","LA Tenancies","438","r. Total"
"E06000011","2013-2014","LA Tenancies","573","r. Total"
"E06000010","2013-2014","LA Tenancies","2403","r. Total"
"E06000009","2013-2014","LA Tenancies","318","r. Total"
"E06000005","2013-2014","LA Tenancies","425","r. Total"
"E06000001","2013-2014","LA Tenancies","7","r. Total"
"E06000045","2013-2014","LA Tenancies","827","r. Total"
"E06000044","2013-2014","LA Tenancies","584","r. Total"
"E06000043","2013-2014","LA Tenancies","451","r. Total"
"E06000042","2013-2014","LA Tenancies","707","r. Total"
"E06000041","2013-2014","LA Tenancies","150","r. Total"
"E06000039","2013-2014","LA Tenancies","270","r. Total"
"E06000038","2013-2014","LA Tenancies","294","r. Total"
"E06000035","2013-2014","LA Tenancies","233","r. Total"
"E06000034","2013-2014","LA Tenancies","490","r. Total"
"E06000033","2013-2014","LA Tenancies","358","r. Total"
"E06000032","2013-2014","LA Tenancies","422","r. Total"
"E06000057","2013-2014","LA Tenancies","810","r. Total"
"E08000035","2013-2014","LA Tenancies","4716","r. Total"
"E08000034","2013-2014","LA Tenancies","3407","r. Total"
"E08000031","2013-2014","LA Tenancies","2131","r. Total"
"E08000029","2013-2014","LA Tenancies","786","r. Total"
"E08000028","2013-2014","LA Tenancies","2738","r. Total"
"E08000027","2013-2014","LA Tenancies","2155","r. Total"
"E08000025","2013-2014","LA Tenancies","4690","r. Total"
"E08000023","2013-2014","LA Tenancies","1433","r. Total"
"E08000022","2013-2014","LA Tenancies","1078","r. Total"
"E08000021","2013-2014","LA Tenancies","2463","r. Total"
"E08000019","2013-2014","LA Tenancies","3918","r. Total"
"E08000018","2013-2014","LA Tenancies","2174","r. Total"
"E08000017","2013-2014","LA Tenancies","1142","r. Total"
"E08000016","2013-2014","LA Tenancies","1705","r. Total"
"E08000010","2013-2014","LA Tenancies","1732","r. Total"
"E08000007","2013-2014","LA Tenancies","752","r. Total"
"E08000006","2013-2014","LA Tenancies","755","r. Total"
"E08000004","2013-2014","LA Tenancies","109","r. Total"
"E08000003","2013-2014","LA Tenancies","1318","r. Total"
"E08000002","2013-2014","LA Tenancies","687","r. Total"
"E08000037","2013-2014","LA Tenancies","1664","r. Total"
"E08000002","2013-2014","LA Tenancies","77","a. Working"
"E08000003","2013-2014","LA Tenancies","372","a. Working"
"E08000004","2013-2014","LA Tenancies","28","a. Working"
"E08000006","2013-2014","LA Tenancies","162","a. Working"
"E08000007","2013-2014","LA Tenancies","132","a. Working"
"E08000010","2013-2014","LA Tenancies","369","a. Working"
"E08000016","2013-2014","LA Tenancies","388","a. Working"
"E08000017","2013-2014","LA Tenancies","220","a. Working"
"E08000018","2013-2014","LA Tenancies","377","a. Working"
"E08000019","2013-2014","LA Tenancies","414","a. Working"
"E08000021","2013-2014","LA Tenancies","502","a. Working"
"E08000022","2013-2014","LA Tenancies","212","a. Working"
"E08000023","2013-2014","LA Tenancies","245","a. Working"
"E08000025","2013-2014","LA Tenancies","77","a. Working"
"E08000027","2013-2014","LA Tenancies","488","a. Working"
"E08000028","2013-2014","LA Tenancies","609","a. Working"
"E08000029","2013-2014","LA Tenancies","104","a. Working"
"E08000031","2013-2014","LA Tenancies","534","a. Working"
"E08000034","2013-2014","LA Tenancies","284","a. Working"
"E08000035","2013-2014","LA Tenancies","833","a. Working"
"E08000037","2013-2014","LA Tenancies","374","a. Working"
"E06000032","2013-2014","LA Tenancies","61","a. Working"
"E06000033","2013-2014","LA Tenancies","43","a. Working"
"E06000034","2013-2014","LA Tenancies","108","a. Working"
"E06000035","2013-2014","LA Tenancies","25","a. Working"
"E06000038","2013-2014","LA Tenancies","41","a. Working"
"E06000039","2013-2014","LA Tenancies","126","a. Working"
"E06000041","2013-2014","LA Tenancies","45","a. Working"
"E06000042","2013-2014","LA Tenancies","131","a. Working"
"E06000043","2013-2014","LA Tenancies","99","a. Working"
"E06000044","2013-2014","LA Tenancies","93","a. Working"
"E06000045","2013-2014","LA Tenancies","178","a. Working"
"E06000001","2013-2014","LA Tenancies","1","a. Working"
"E06000005","2013-2014","LA Tenancies","102","a. Working"
"E06000009","2013-2014","LA Tenancies","29","a. Working"
"E06000010","2013-2014","LA Tenancies","479","a. Working"
"E06000011","2013-2014","LA Tenancies","88","a. Working"
"E06000014","2013-2014","LA Tenancies","79","a. Working"
"E06000015","2013-2014","LA Tenancies","272","a. Working"
"E06000016","2013-2014","LA Tenancies","227","a. Working"
"E06000018","2013-2014","LA Tenancies","239","a. Working"
"E06000021","2013-2014","LA Tenancies","387","a. Working"
"E06000023","2013-2014","LA Tenancies","258","a. Working"
"E06000028","2013-2014","LA Tenancies","21","a. Working"
"E06000029","2013-2014","LA Tenancies","20","a. Working"
"E06000030","2013-2014","LA Tenancies","150","a. Working"
"E06000047","2013-2014","LA Tenancies","404","a. Working"
"E06000050","2013-2014","LA Tenancies","143","a. Working"
"E06000051","2013-2014","LA Tenancies","33","a. Working"
"E06000052","2013-2014","LA Tenancies","88","a. Working"
"E06000054","2013-2014","LA Tenancies","54","a. Working"
"E06000056","2013-2014","LA Tenancies","51","a. Working"
"E06000057","2013-2014","LA Tenancies","169","a. Working"
"E09000001","2013-2014","LA Tenancies","21","a. Working"
"E09000002","2013-2014","LA Tenancies","124","a. Working"
"E09000003","2013-2014","LA Tenancies","58","a. Working"
"E09000005","2013-2014","LA Tenancies","23","a. Working"
"E09000007","2013-2014","LA Tenancies","151","a. Working"
"E09000008","2013-2014","LA Tenancies","12","a. Working"
"E09000009","2013-2014","LA Tenancies","122","a. Working"
"E09000010","2013-2014","LA Tenancies","39","a. Working"
"E09000011","2013-2014","LA Tenancies","205","a. Working"
"E09000012","2013-2014","LA Tenancies","40","a. Working"
"E09000013","2013-2014","LA Tenancies","44","a. Working"
"E09000014","2013-2014","LA Tenancies","26","a. Working"
"E09000015","2013-2014","LA Tenancies","31","a. Working"
"E09000016","2013-2014","LA Tenancies","103","a. Working"
"E09000017","2013-2014","LA Tenancies","65","a. Working"
"E09000018","2013-2014","LA Tenancies","58","a. Working"
"E09000019","2013-2014","LA Tenancies","207","a. Working"
"E09000020","2013-2014","LA Tenancies","42","a. Working"
"E09000021","2013-2014","LA Tenancies","31","a. Working"
"E09000022","2013-2014","LA Tenancies","172","a. Working"
"E09000023","2013-2014","LA Tenancies","91","a. Working"
"E09000025","2013-2014","LA Tenancies","191","a. Working"
"E09000026","2013-2014","LA Tenancies","34","a. Working"
"E09000028","2013-2014","LA Tenancies","292","a. Working"
"E09000029","2013-2014","LA Tenancies","28","a. Working"
"E09000030","2013-2014","LA Tenancies","107","a. Working"
"E09000031","2013-2014","LA Tenancies","34","a. Working"
"E09000032","2013-2014","LA Tenancies","104","a. Working"
"E09000033","2013-2014","LA Tenancies","52","a. Working"
"E07000008","2013-2014","LA Tenancies","78","a. Working"
"E07000012","2013-2014","LA Tenancies","60","a. Working"
"E07000027","2013-2014","LA Tenancies","28","a. Working"
"E07000033","2013-2014","LA Tenancies","98","a. Working"
"E07000034","2013-2014","LA Tenancies","202","a. Working"
"E07000240","2013-2014","LA Tenancies","48","a. Working"
"E07000241","2013-2014","LA Tenancies","101","a. Working"
"E07000037","2013-2014","LA Tenancies","76","a. Working"
"E07000038","2013-2014","LA Tenancies","114","a. Working"
"E07000039","2013-2014","LA Tenancies","48","a. Working"
"E07000040","2013-2014","LA Tenancies","39","a. Working"
"E07000041","2013-2014","LA Tenancies","54","a. Working"
"E07000042","2013-2014","LA Tenancies","45","a. Working"
"E07000061","2013-2014","LA Tenancies","35","a. Working"
"E07000063","2013-2014","LA Tenancies","38","a. Working"
"E07000065","2013-2014","LA Tenancies","33","a. Working"
"E07000066","2013-2014","LA Tenancies","79","a. Working"
"E07000068","2013-2014","LA Tenancies","21","a. Working"
"E07000069","2013-2014","LA Tenancies","11","a. Working"
"E07000071","2013-2014","LA Tenancies","54","a. Working"
"E07000072","2013-2014","LA Tenancies","107","a. Working"
"E07000073","2013-2014","LA Tenancies","76","a. Working"
"E07000076","2013-2014","LA Tenancies","46","a. Working"
"E07000077","2013-2014","LA Tenancies","45","a. Working"
"E07000078","2013-2014","LA Tenancies","105","a. Working"
"E07000081","2013-2014","LA Tenancies","31","a. Working"
"E07000082","2013-2014","LA Tenancies","73","a. Working"
"E07000087","2013-2014","LA Tenancies","20","a. Working"
"E07000088","2013-2014","LA Tenancies","39","a. Working"
"E07000090","2013-2014","LA Tenancies","81","a. Working"
"E07000091","2013-2014","LA Tenancies","64","a. Working"
"E07000094","2013-2014","LA Tenancies","63","a. Working"
"E07000095","2013-2014","LA Tenancies","3","a. Working"
"E07000096","2013-2014","LA Tenancies","110","a. Working"
"E07000098","2013-2014","LA Tenancies","1","a. Working"
"E07000105","2013-2014","LA Tenancies","36","a. Working"
"E07000106","2013-2014","LA Tenancies","34","a. Working"
"E07000107","2013-2014","LA Tenancies","38","a. Working"
"E07000108","2013-2014","LA Tenancies","47","a. Working"
"E07000109","2013-2014","LA Tenancies","34","a. Working"
"E07000112","2013-2014","LA Tenancies","14","a. Working"
"E07000114","2013-2014","LA Tenancies","24","a. Working"
"E07000121","2013-2014","LA Tenancies","63","a. Working"
"E07000127","2013-2014","LA Tenancies","199","a. Working"
"E07000130","2013-2014","LA Tenancies","57","a. Working"
"E07000132","2013-2014","LA Tenancies","19","a. Working"
"E07000133","2013-2014","LA Tenancies","15","a. Working"
"E07000134","2013-2014","LA Tenancies","62","a. Working"
"E07000135","2013-2014","LA Tenancies","7","a. Working"
"E07000138","2013-2014","LA Tenancies","100","a. Working"
"E07000139","2013-2014","LA Tenancies","42","a. Working"
"E07000140","2013-2014","LA Tenancies","41","a. Working"
"E07000141","2013-2014","LA Tenancies","91","a. Working"
"E07000145","2013-2014","LA Tenancies","38","a. Working"
"E07000148","2013-2014","LA Tenancies","218","a. Working"
