"dclg_code","ons_code","name","type"
"F0114","E06000022","Bath and North East Somerset","Lower/Single-Tier"
"K0235","E06000055","Bedford","Lower/Single-Tier"
"M2372","E06000008","Blackburn with Darwen","Lower/Single-Tier"
"J2373","E06000009","Blackpool","Lower/Single-Tier"
"G1250","E06000028","Bournemouth","Lower/Single-Tier"
"R0335","E06000036","Bracknell Forest","Lower/Single-Tier"
"Q1445","E06000043","Brighton and Hove","Lower/Single-Tier"
"Z0116","E06000023","Bristol","Lower/Single-Tier"
"P0240","E06000056","Central Bedfordshire","Lower/Single-Tier"
"R0660","E06000049","Cheshire East","Lower/Single-Tier"
"A0665","E06000050","Cheshire West and Chester","Lower/Single-Tier"
"D0840","E06000052","Cornwall","Lower/Single-Tier"
"X1355","E06000047","County Durham","Lower/Single-Tier"
"N1350","E06000005","Darlington","Lower/Single-Tier"
"C1055","E06000015","Derby","Lower/Single-Tier"
"E2001","E06000011","East Riding of Yorkshire","Lower/Single-Tier"
"D0650","E06000006","Halton","Lower/Single-Tier"
"H0724","E06000001","Hartlepool","Lower/Single-Tier"
"W1850","E06000019","Herefordshire, County of","Lower/Single-Tier"
"P2114","E06000046","Isle of Wight","Lower/Single-Tier"
"Z0835","E06000053","Isles of Scilly","Lower/Single-Tier"
"V2004","E06000010","Kingston upon Hull","Lower/Single-Tier"
"W2465","E06000016","Leicester","Lower/Single-Tier"
"B0230","E06000032","Luton","Lower/Single-Tier"
"A2280","E06000035","Medway","Lower/Single-Tier"
"W0734","E06000002","Middlesbrough","Lower/Single-Tier"
"Y0435","E06000042","Milton Keynes","Lower/Single-Tier"
"B2002","E06000012","North East Lincolnshire","Lower/Single-Tier"
"Y2003","E06000013","North Lincolnshire","Lower/Single-Tier"
"D0121","E06000024","North Somerset","Lower/Single-Tier"
"P2935","E06000057","Northumberland","Lower/Single-Tier"
"Q3060","E06000018","Nottingham","Lower/Single-Tier"
"J0540","E06000031","Peterborough","Lower/Single-Tier"
"N1160","E06000026","Plymouth","Lower/Single-Tier"
"Q1255","E06000029","Poole","Lower/Single-Tier"
"Z1775","E06000044","Portsmouth","Lower/Single-Tier"
"E0345","E06000038","Reading","Lower/Single-Tier"
"V0728","E06000003","Redcar and Cleveland","Lower/Single-Tier"
"A2470","E06000017","Rutland","Lower/Single-Tier"
"L3245","E06000051","Shropshire","Lower/Single-Tier"
"J0350","E06000039","Slough","Lower/Single-Tier"
"P0119","E06000025","South Gloucestershire","Lower/Single-Tier"
"D1780","E06000045","Southampton","Lower/Single-Tier"
"D1590","E06000033","Southend-on-Sea","Lower/Single-Tier"
"H0738","E06000004","Stockton-on-Tees","Lower/Single-Tier"
"M3455","E06000021","Stoke-on-Trent","Lower/Single-Tier"
"U3935","E06000030","Swindon","Lower/Single-Tier"
"C3240","E06000020","Telford and Wrekin","Lower/Single-Tier"
"M1595","E06000034","Thurrock","Lower/Single-Tier"
"X1165","E06000027","Torbay","Lower/Single-Tier"
"M0655","E06000007","Warrington","Lower/Single-Tier"
"W0340","E06000037","West Berkshire","Lower/Single-Tier"
"Y3940","E06000054","Wiltshire","Lower/Single-Tier"
"T0355","E06000040","Windsor and Maidenhead","Lower/Single-Tier"
"X0360","E06000041","Wokingham","Lower/Single-Tier"
"C2741","E06000014","York","Lower/Single-Tier"
"Z5060","E09000002","Barking and Dagenham","Lower/Single-Tier"
"N5090","E09000003","Barnet","Lower/Single-Tier"
"D5120","E09000004","Bexley","Lower/Single-Tier"
"T5150","E09000005","Brent","Lower/Single-Tier"
"G5180","E09000006","Bromley","Lower/Single-Tier"
"X5210","E09000007","Camden","Lower/Single-Tier"
"K5030","E09000001","City of London","Lower/Single-Tier"
"L5240","E09000008","Croydon","Lower/Single-Tier"
"A5270","E09000009","Ealing","Lower/Single-Tier"
"Q5300","E09000010","Enfield","Lower/Single-Tier"
"E5330","E09000011","Greenwich","Lower/Single-Tier"
"U5360","E09000012","Hackney","Lower/Single-Tier"
"H5390","E09000013","Hammersmith and Fulham","Lower/Single-Tier"
"Y5420","E09000014","Haringey","Lower/Single-Tier"
"M5450","E09000015","Harrow","Lower/Single-Tier"
"B5480","E09000016","Havering","Lower/Single-Tier"
"R5510","E09000017","Hillingdon","Lower/Single-Tier"
"F5540","E09000018","Hounslow","Lower/Single-Tier"
"V5570","E09000019","Islington","Lower/Single-Tier"
