"ons_code","date_code","measurement","value","economic_status"
"E08000008","2013-2014","PRP tenancies","4","c. Govt training or new deal"
"E08000007","2013-2014","PRP tenancies","1","c. Govt training or new deal"
"E08000006","2013-2014","PRP tenancies","1","c. Govt training or new deal"
"E08000005","2013-2014","PRP tenancies","5","c. Govt training or new deal"
"E08000004","2013-2014","PRP tenancies","0","c. Govt training or new deal"
"E08000003","2013-2014","PRP tenancies","4","c. Govt training or new deal"
"E08000002","2013-2014","PRP tenancies","0","c. Govt training or new deal"
"E08000001","2013-2014","PRP tenancies","7","c. Govt training or new deal"
"E09000006","2013-2014","PRP tenancies","8","i. Other"
"E09000007","2013-2014","PRP tenancies","8","i. Other"
"E09000031","2013-2014","PRP tenancies","2","i. Other"
"E09000030","2013-2014","PRP tenancies","21","i. Other"
"E09000029","2013-2014","PRP tenancies","12","i. Other"
"E09000028","2013-2014","PRP tenancies","28","i. Other"
"E09000027","2013-2014","PRP tenancies","4","i. Other"
"E09000026","2013-2014","PRP tenancies","2","i. Other"
"E09000025","2013-2014","PRP tenancies","0","i. Other"
"E09000024","2013-2014","PRP tenancies","4","i. Other"
"E09000023","2013-2014","PRP tenancies","23","i. Other"
"E09000022","2013-2014","PRP tenancies","10","i. Other"
"E09000021","2013-2014","PRP tenancies","3","i. Other"
"E09000020","2013-2014","PRP tenancies","8","i. Other"
"E09000019","2013-2014","PRP tenancies","12","i. Other"
"E09000018","2013-2014","PRP tenancies","3","i. Other"
"E09000017","2013-2014","PRP tenancies","5","i. Other"
"E09000016","2013-2014","PRP tenancies","2","i. Other"
"E09000015","2013-2014","PRP tenancies","3","i. Other"
"E09000014","2013-2014","PRP tenancies","2","i. Other"
"E09000013","2013-2014","PRP tenancies","2","i. Other"
"E09000012","2013-2014","PRP tenancies","66","i. Other"
"E09000011","2013-2014","PRP tenancies","19","i. Other"
"E09000010","2013-2014","PRP tenancies","0","i. Other"
"E09000009","2013-2014","PRP tenancies","4","i. Other"
"E09000008","2013-2014","PRP tenancies","6","i. Other"
