,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bath and North East Somerset,"2,600","3,052","2,428","3,324","3,521","2,375","2,640","3,289","3,183","5,457","5,935","5,435","6,990","8,800","10,344","11,775","12,860","4,747","5,662","6,093"
Bedford,,,,,,,,,,,,,,"2,046","3,093","3,461","3,013",945,"1,051","1,347"
Blackburn with Darwen,"2,316","1,854","1,493","1,592","1,691","1,608","3,717","4,528","6,177","7,520","10,066","9,194","6,473","5,526","6,359","4,921","4,101","4,892","3,942","3,401"
Blackpool,"4,159","4,491","3,611","4,956","1,700","3,073","4,712","4,970","5,419","2,706","4,180","4,896","6,692","6,769","6,221","7,178","6,320","4,843","4,162","5,049"
Bournemouth,904,"1,044","1,397","1,506","1,624","1,753","1,953","2,336","3,721","4,633","5,776","7,269","6,925","7,732","8,047","9,425","3,177","4,122","3,782","4,481"
Bracknell Forest,"1,357","1,386","1,308","1,302","1,331","1,413","1,604","2,812","3,019","4,076","4,067","4,122","4,175","2,851","3,478","3,962","2,706","2,069","2,282","2,260"
Brighton and Hove,"1,611","2,400","3,610","3,168","3,304","3,274","4,307","7,500","8,056","8,056","10,667","9,046","9,546","9,719","10,852","11,870","16,249","19,071","22,182","23,698"
Bristol,"10,462","10,030","11,299","12,280","11,853","11,384","12,944","11,632","11,809","12,927","14,448","10,106","9,683","10,420","11,167","14,585","14,360","14,513","7,197","9,784"
Central Bedfordshire,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,213","3,604","3,269","3,371","3,673","2,958",741
Cheshire East,..,..,..,..,..,0,..,..,..,..,..,..,..,"6,896","8,725","10,177","12,495","6,018","7,314","6,844"
Cheshire West and Chester,..,..,..,..,..,0,..,..,..,..,..,..,..,"12,568","16,079","17,382","19,025","6,085","2,790","3,656"
Cornwall,..,..,..,..,..,..,..,..,..,..,..,..,..,"7,715","18,371","24,329","28,336","26,915","27,729","30,020"
County Durham,..,..,..,..,..,..,..,..,..,..,..,..,..,"13,467","20,344","17,352","12,930","11,302","11,132","10,081"
Darlington,"2,542","2,790","2,959","2,087","2,127","1,886","2,666","2,601","2,853","2,848","2,677","2,476","2,465","3,037","1,893","2,068","1,797","1,632","1,601","1,618"
Derby,"2,924","3,612","4,049","2,325","5,974","3,182","8,759","11,695","9,698","12,648","7,654","9,732","9,314","8,574","5,775","6,632","4,208","3,868","4,308","4,728"
East Riding of Yorkshire,"5,992","5,648","8,780","4,766","5,089","4,797","5,748","6,927","7,589","8,417","10,315","9,975","9,014","8,613","9,978","8,839","10,584","5,021","5,998","6,133"
Halton,"2,573","1,021","1,152",990,"1,970","2,037","2,209","1,931","2,257","2,523","3,076","1,720","2,221","2,751","2,683","1,386","3,428","3,099","1,454","1,388"
Hartlepool,"3,219","1,941","2,376","2,374","2,026","2,998","3,033","7,310","3,222","2,920","2,968","3,696","3,794","2,385","2,824","2,180","2,563","2,615","3,034","3,369"
"Herefordshire, County of","2,220","2,198","3,311","3,389","5,682","2,278","4,848","5,686","7,740","5,377","4,193","5,314","5,207","5,064","5,054","4,747","4,820","4,736",820,"1,114"
Isle of Wight,"1,654",467,"1,122","1,475","1,451","1,609","2,403","2,865","3,967","3,508","4,955","4,388","5,230","5,186","4,684","6,328","7,424","8,677","8,908","1,652"
Isles of Scilly,,,,,,,,,,,,,,87,79,84,89,79,77,57
